linf,k,t0,species,region,reference,bibiography
154.7,0.53,,Ensis siliqua,Wales,Henderson and Richardson (1994),"Henderson, S.M., Richardson, C.A., 1994. A comparison of the age, growth rate and burrowing behaviour of the razor clams, Ensis siliqua and E. ensis. J. Mar. Biol. Assoc. U. K. 74, 939–954. "
178.2,0.26,,Ensis siliqua,Ireland,Fahy and Gaffney (2001),"Fahy, E., Gaffney, J., 2001. Growth statistics of an exploited razor clam (Ensis siliqua) bed at Gormanstown, Co Meath, Ireland. Hydrobiologia 465, 139–151. "
131.6,0.56,,Ensis ensis,Wales,Henderson and Richardson (1994),"Henderson, S.M., Richardson, C.A., 1994. A comparison of the age, growth rate and burrowing behaviour of the razor clams, Ensis siliqua and E. ensis. J. Mar. Biol. Assoc. U. K. 74, 939–954. "
139,0.35,,Ensis directus,England,Palmer (2004),"Palmer, D.W., 2004. Growth of the razor clam Ensis directus, an alien species in the Wash on the east coast of England. J. Mar. Biol. Assoc. U. K. 84, 1075–1076. "
106,0.64,,Ensis directus,England,Palmer (2004),"Palmer, D.W., 2004. Growth of the razor clam Ensis directus, an alien species in the Wash on the east coast of England. J. Mar. Biol. Assoc. U. K. 84, 1075–1076. "
101,0.54,,Ensis directus,England,Palmer (2004),"Palmer, D.W., 2004. Growth of the razor clam Ensis directus, an alien species in the Wash on the east coast of England. J. Mar. Biol. Assoc. U. K. 84, 1075–1076. "
159,0.31,,Ensis directus,England,Palmer (2004),"Palmer, D.W., 2004. Growth of the razor clam Ensis directus, an alien species in the Wash on the east coast of England. J. Mar. Biol. Assoc. U. K. 84, 1075–1076. "
163.6,0.21,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
161.6,0.23,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
173.7,0.14,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
166.8,0.38,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
168,0.22,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
152.4,0.43,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
147.8,0.46,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
151.7,0.25,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
179.5,0.24,,Ensis arcuatus,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
212.3,0.13,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
188.3,0.22,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
196.3,0.11,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
185.6,0.15,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
189.8,0.23,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
191.8,0.22,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
180,0.44,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
206.6,0.27,,Ensis siliqua,Scotland,"Breen M., et al (2011)","Breen, Mike & Howell, Trevor & Copland, Phil. (2011). A report on electrical fishing for razor clams (ensis sp.) and its likely effects on the marine environment. Marine Scotland Science Report. "
